Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
1,1,,What is the null hypothesis corresponding to the $t$-statistic with value -21.959?,MCQ,$H_0:\; \beta_1 = 0$,$H_0:\; \beta_0 = 0$,$H_0:\; \hat{\beta}_1 = 0$,$H_0:\; \hat{\beta}_0 = 0$,,A,"A is correct.
B corresponds to the test for the intercept in the model, not the coefficient for ldist.
C and D: Hypothesis tests are for population parameters, not estimates, which are denoted with a hat symbol.",,Low,"Regression, Inference, Hypothesis Testing, T-Test, Basic Concepts in Statistics",
1,2,,"What is the test statistic corresponding to the following hypothesis test?
\begin{eqnarray}
H_0:\; \beta_0 &=& 0 \\
H_1:\; \beta_0 & \ne & 0 
\end{eqnarray}",MCQ,95.0169,36.034,-21.959,482.2,2.52e-71,B,"A is the estimate of $\hat{\beta}_0$.
B is indeed the value of the test statistic.
C is the $t$-statistic for testing of the coefficient $\beta_1$ is 0.
D is $F$-statistic for testing of the coefficient $\beta_1$ is 0.
E is the $p$-value for the $F$-statistic.",,Low,"Regression, Inference, Hypothesis Testing, T-Test, Basic Concepts in Statistics",
1,3,,"Which of the following is/are correct interpretations of the fitted equation: 
$$
\hat{Y} = \hat{\beta}_0 + \hat{\beta}_1 \ln (X_1)
$$",MRQ,Every one unit increase in distance-to-MRT is associated with an average increase of $\beta$-units in $Y$.,Every one unit increase in distance-to-MRT is associated with an average increase of $\hat{\beta}$-units in $Y$.,Every doubling of distance-to-MRT is associated with an average increase of $\ln(2) \times \hat{\beta}$-units in $Y$.,Every one unit increase in $\ln(X)$ is associated with an average increase of $\hat{\beta}$-units in $Y$.,,"B, D","Suppose that $\hat{Y} = \hat{\beta}_0 + \hat{\beta}_1 \ln(X_1)$. Then if we double $X' = 2 X_1$,
\begin{eqnarray}
\hat{Y}' &=& \hat{\beta}_0 + \hat{\beta}_1 \ln(X') \\ 
&=& \hat{\beta}_0 + \hat{\beta}_1 \ln(2 X) \\  
&=& \hat{\beta}_0 + \hat{\beta}_1 (\ln(2) + \ln(X)) \\  
&=& \hat{\beta}_1 \ln(2) + \hat{Y}
\end{eqnarray}",,Low,"Regression, Inference, Basic Concepts in Statistics",
1,4,,What is the estimated mean for a new observation with distance to MRT 1.5km? Show all the Python code used.,Code,,,,,,"new_df = sm.add_constant(pd.DataFrame({'dist_MRT' : 1500.0}, index=[0]))
new_df['ldist']  = np.log(new_df.dist_MRT)
predictions_out = lm_2.get_prediction(new_df)

print(f""The estimated mean is {predictions_out.predicted_mean[0]:.3f}"")",,,Low,"Regression, Data Manipulation",
1,5,,What is the 90% confidence interval for a mean for a new observation with distance to MRT 800m?,Code,,,,,,"new_df = sm.add_constant(pd.DataFrame({'dist_MRT' : 800.0}, index=[0]))
new_df['ldist']  = np.log(new_df.dist_MRT)
predictions_out = lm_2.get_prediction(new_df)
upper,lower = predictions_out.conf_int(alpha=0.10).reshape(2,)

print(f""The estimated lower and upper limits are ({lower:.3f}, {upper:.3f})."")",,,Med,"Regression, Inference, Basic Concepts in Statistics, Confidence Interval",
1,6,,"Suppose that I am hunting for a new property, but I am not willing to spend more than 50,000 NT dollars per ping. What is the closest distance to an MRT that I can afford, according to the above model?",Code,,,,,,"\begin{eqnarray}
95.0169 - 8.9235 \ln(X) &\le& 50 \\
X &\ge& 155.21
\end{eqnarray}",,,Med,"Regression, Data Manipulation, Algebra",
1,7,,"Consider the broken line regression model that we fitted to the Taiwan real estate price data, with housing age as the explanatory variable. In the notes, we used the value 25 years. In the following function we can input the age we wish to set the breakpoint at. The function should return the adjusted $R^2$ for the corresponding regression model.

```
def housing_break(age, data):
    tmp_data = data.copy()
    tmp_data['x3'] = [ _______(1)_________  for x in data.house_age]
    lm_age_mrt_2 = ols('price ~ house_age + x3', data=tmp_data).fit()
    return lm_age_mrt_2.___(2)_____
```

Fill in the two blanks with the appropriate Python expressions to get the function working.",Code,,,,,,"1. (x - age) if x > age else 0
2. rsquared_adj",,,Low,"Regression, Model Validation, Basic Concepts in Statistics, Data Manipulation",
2,8,,An analyst concludes that model (2) has a better fit since the $R^2$ is larger (0.579 in the latter compared with 0.539 in the former). Which of the following statements is correct?,MCQ,The analyst is correct. The two $R^2$ values are comparable because they are both based on the same dataset.,The analyst is correct. The two $R^2$ values are comparable because they both use the same independent variable.,The analyst is mistaken. The two $R^2$ values cannot be compared because the dependent variables are different.,"The analyst is correct that model (2) fits better, but the reason is incorrect - the adjusted $R^2$ should be used instead.",,C,"The formula for $R^2$ is $$
R^2 = 1 - \frac{SS_{Res}}{SS_T} = \frac{SS_{Reg}}{SS_T} = \frac{\sum_{i=1}^n (\hat{Y_i}  - \bar{Y})^2}{\sum_{i=1}^n (Y_i  - \bar{Y})^2}
$$ However, the two models use different $Y$ values. The $SS_T$ is different! Hence it does not make sense to compare the two $R^2$ values directly.

A is incorrect.
B: $R^2$ calculation does not depend on the independent variable.
C: This is correct.
D: With simple linear regression, it is conventional to use the unadjusted $R^2$. However, the issue is not with this. Adjusted $R^2$ adjusts for the number of independent variables, but assumes the dependent variable is the same.",,Med,"Regression, Model Validation, Basic Concepts in Statistics",
1,9,,"Consider the broken line regression model that we fitted to the Taiwan real estate price data, with housing age as the explanatory variable. In the notes, we used the value 25 years. In the following function we can input the age we wish to set the breakpoint at. The function returns the adjusted $R^2$ for the corresponding regression model.

```
def housing_break(age, data):
    tmp_data = data.copy()
    tmp_data['x3'] = [ (x - age) if x > age else 0 for x in data.house_age]
    lm_age_mrt_2 = ols('price ~ house_age + x3', data=tmp_data).fit()
    return lm_age_mrt_2.rsquared_adj
```

Use the function above to identify the ""best"" value of `age` to use in the model. Name one downside of using this value.",Code,,,,,,"def housing_break(age, data): 
    tmp_data = data.copy() 
    tmp_data['x3'] = [ (x - age) if x > age else 0 for x in data.house_age] 
    lm_age_mrt_2 = ols('price ~ house_age + x3', data=tmp_data).fit() 
    return lm_age_mrt_2.rsquared_adj

age_grid = np.arange(0, 45, step = 0.1)
r2_vals = [housing_break(x, re2) for x in age_grid]

id = np.argmax(r2_vals)

print(f""The optimal house age is {age_grid[id]:.1f}"")

One downside of using this value is that it could be overfitted to this particular dataset.",,,High,"Regression, Model Validation, Data Manipulation",
1,10,,"Which of the following statement(s) regarding the *raw* residuals is (are) true? Remember that raw residuals are given by
$$
r_i = Y_i - \hat{Y}_i
$$",MCQ,There is exactly one residual greater than 50.,There are at least two residuals less than -30.,The mean of the raw residuals for properties transacted in 2012 is approximately -2.6 (1 d.p.),The mean of the raw residuals for properties transacted in 2013 is approximately 2.6 (1 d.p.),The mean of the raw residuals is approximately 0.0 (1 d.p.),"A, C, E","import pandas as pd
import numpy as np

import statsmodels.api as sm
from statsmodels.formula.api import ols

from scipy import stats

re2 = pd.read_csv(""taiwan_dataset.csv"")
re2['ldist'] = np.log(re2.dist_MRT)

re2['year_int'] = re2.trans_date.astype(int)
re2['year_s'] = re2.year_int.astype(str)

lm_3 = ols('price ~ ldist', data=re2).fit()
re2['r_3'] = re2.price - lm_3.fittedvalues

re2.r_3.groupby(re2.year_s).describe()

re2['abs_r_3'] = np.abs(re2.r_3)

re2.sort_values(by='abs_r_3', ascending=False).head(n=5)",,Low,"Regression, Basic Concepts in Statistics",
